total,wins,losses,win_rate_pct,profit_factor,net_pnl_inr,avg_win_inr,avg_loss_inr,exits_sl,exits_t1,exits_t2,exits_trail,exits_cap,exits_eod,t1_hit_pct,t2_hit_pct,avg_sl_dist,gap_trades,normal_trades,gap_wins,nrm_wins,htf_min,mtf_min,ltf_min,exec_min,sl_buf,cap_pts,sector_confirm,gap_thr_pct,dte_filter,symbol,lot
19,13,6,68.4,5.094,10004.15,957.52,407.28,3,12,0,0,0,4,63.2,0.0,266.6,0,19,0,13,150,30,3,1,20,0,0,99.0,15,SENSEX,10
19,13,6,68.4,5.094,10004.15,957.52,407.28,3,12,0,0,0,4,63.2,0.0,266.6,0,19,0,13,150,30,3,1,20,0,1,99.0,15,SENSEX,10
19,13,6,68.4,5.094,10004.15,957.52,407.28,3,12,0,0,0,4,63.2,0.0,266.6,0,19,0,13,150,30,3,1,20,500,0,99.0,15,SENSEX,10
19,13,6,68.4,5.094,10004.15,957.52,407.28,3,12,0,0,0,4,63.2,0.0,266.6,0,19,0,13,150,30,3,1,20,500,1,99.0,15,SENSEX,10
33,27,6,81.8,5.092,15584.9,718.27,634.73,4,16,0,0,10,3,48.5,0.0,400.1,0,33,0,27,180,30,3,3,10,200,0,99.0,0,SENSEX,10
33,27,6,81.8,5.092,15584.9,718.27,634.73,4,16,0,0,10,3,48.5,0.0,400.1,0,33,0,27,180,30,3,3,10,200,1,99.0,0,SENSEX,10
25,18,7,72.0,5.078,9629.25,666.15,337.36,4,11,0,0,7,3,44.0,0.0,347.1,0,25,0,18,150,30,5,1,5,200,0,99.0,20,SENSEX,10
25,18,7,72.0,5.078,9629.25,666.15,337.36,4,11,0,0,7,3,44.0,0.0,347.1,0,25,0,18,150,30,5,1,5,200,1,99.0,20,SENSEX,10
40,30,10,75.0,5.072,23924.0,993.33,587.59,7,25,0,0,3,5,62.5,0.0,369.3,0,40,0,30,150,30,5,1,5,500,0,99.0,0,SENSEX,10
40,30,10,75.0,5.072,23924.0,993.33,587.59,7,25,0,0,3,5,62.5,0.0,369.3,0,40,0,30,150,30,5,1,5,500,1,99.0,0,SENSEX,10
25,18,7,72.0,5.068,15955.2,1104.29,560.29,3,18,0,0,0,4,72.0,0.0,371.3,0,25,0,18,120,30,3,1,20,0,0,99.0,20,SENSEX,10
25,18,7,72.0,5.068,15955.2,1104.29,560.29,3,18,0,0,0,4,72.0,0.0,371.3,0,25,0,18,120,30,3,1,20,0,1,99.0,20,SENSEX,10
25,18,7,72.0,5.068,15955.2,1104.29,560.29,3,18,0,0,0,4,72.0,0.0,371.3,0,25,0,18,120,30,3,1,20,500,0,99.0,20,SENSEX,10
25,18,7,72.0,5.068,15955.2,1104.29,560.29,3,18,0,0,0,4,72.0,0.0,371.3,0,25,0,18,120,30,3,1,20,500,1,99.0,20,SENSEX,10
35,29,6,82.9,5.061,20340.3,874.1,834.77,5,27,0,0,0,3,77.1,0.0,452.6,0,35,0,29,180,30,3,1,30,0,0,99.0,0,SENSEX,10
35,29,6,82.9,5.061,20340.3,874.1,834.77,5,27,0,0,0,3,77.1,0.0,452.6,0,35,0,29,180,30,3,1,30,0,1,99.0,0,SENSEX,10
33,26,7,78.8,5.053,19149.9,918.27,675.01,5,23,0,0,1,4,69.7,0.0,395.1,0,33,0,26,180,30,3,3,5,500,0,99.0,0,SENSEX,10
33,26,7,78.8,5.053,19149.9,918.27,675.01,5,23,0,0,1,4,69.7,0.0,395.1,0,33,0,26,180,30,3,3,5,500,1,99.0,0,SENSEX,10
23,16,7,69.6,5.037,12758.0,994.88,451.45,4,16,0,0,0,3,69.6,0.0,288.6,5,18,3,13,120,30,3,1,20,0,0,0.8,15,SENSEX,10
23,16,7,69.6,5.037,12758.0,994.88,451.45,4,16,0,0,0,3,69.6,0.0,288.6,5,18,3,13,120,30,3,1,20,0,1,0.8,15,SENSEX,10
23,16,7,69.6,5.037,12758.0,994.88,451.45,4,16,0,0,0,3,69.6,0.0,288.6,5,18,3,13,120,30,3,1,20,500,0,0.8,15,SENSEX,10
